"ireland_4.t2q18a1","ireland_4.t2q18a2","ireland_4.t2q18a3","ireland_4.t2q18a4","ireland_4.t2q18a5","ireland_4.t2q18anu","ireland_4.t3q18b1","ireland_4.t3q18b2","ireland_4.t3q18b3","ireland_4.t3q18b4","ireland_4.t3q18b5","ireland_4.t3q18bnu","ireland_4.t2q18b1","ireland_4.t2q18b2","ireland_4.t2q18b3","ireland_4.t2q18b4","ireland_4.t2q18b5","ireland_4.t2q18bnu","ireland_4.t3q18b1.1","ireland_4.t3q18b2.1","ireland_4.t3q18b3.1","ireland_4.t3q18b4.1","ireland_4.t3q18b5.1","ireland_4.t3q18bnu.1","ireland_4.t2q19a1","ireland_4.t2q19a2","ireland_4.t2q19a3","ireland_4.t2q19a4","ireland_4.t2q19a5","ireland_4.t2q19anu","ireland_4.t3q19a1","ireland_4.t3q19a2","ireland_4.t3q19a3","ireland_4.t3q19a4","ireland_4.t3q19a5","ireland_4.t3q19anu","ireland_4.t2q19b1","ireland_4.t2q19b2","ireland_4.t2q19b3","ireland_4.t2q19b4","ireland_4.t2q19b5","ireland_4.t2q19bnu","ireland_4.t3q19b1","ireland_4.t3q19b2","ireland_4.t3q19b3","ireland_4.t3q19b4","ireland_4.t3q19b5","ireland_4.t3q19bnu","ireland_4.t2q20a1","ireland_4.t2q20a2","ireland_4.t2q20a3","ireland_4.t2q20a4","ireland_4.t2q20a5","ireland_4.t2q20anu","ireland_4.t3q20a1","ireland_4.t3q20a2","ireland_4.t3q20a3","ireland_4.t3q20a4","ireland_4.t3q20a5","ireland_4.t3q20anu","ireland_4.t2q20b1","ireland_4.t2q20b2","ireland_4.t2q20b3","ireland_4.t2q20b4","ireland_4.t2q20b5","ireland_4.t2q20bnu","ireland_4.t3q20b1","ireland_4.t3q20b2","ireland_4.t3q20b3","ireland_4.t3q20b4","ireland_4.t3q20b5","ireland_4.t3q20bnu","ireland_4.t2q21a1","ireland_4.t2q21a2","ireland_4.t2q21a3","ireland_4.t2q21a4","ireland_4.t2q21a5","ireland_4.t2q21anu","ireland_4.t3q21a1","ireland_4.t3q21a2","ireland_4.t3q21a3","ireland_4.t3q21a4","ireland_4.t3q21a5","ireland_4.t3q21anu","ireland_4.t2q21b1","ireland_4.t2q21b2","ireland_4.t2q21b3","ireland_4.t2q21b4","ireland_4.t2q21b5","ireland_4.t2q21bnu","ireland_4.t3q21b1","ireland_4.t3q21b2","ireland_4.t3q21b3","ireland_4.t3q21b4","ireland_4.t3q21b5","ireland_4.t3q21bnu"
"83","That all children receive the same standard of education","That all children are seen as individuals","The choices are readily available in parent/pupil decision","The colaboration of one or more schools is in everyone's best interest","NA",4,"NA","NA","NA","NA","NA",0,"That less academic is less of a challennge","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"That it enhances their roots and background beliefs","That it will cause less segregation","NA","NA","NA",2,"That it keeps their single identity","Keep their own faith","NA","NA","NA",2,"It would encourage more understanding of eachother","It would deliver an equally balanced level of education","It ould help break down the divide of conflict","NA","NA",3,"That it woulld decrease the level of discrimination","Make people aware of their culture","NA","NA","NA",2,"It would build on a better future","It would encourage children to work together","It would deliver the equality of education being offered","It would work both to the advantage of economic growth","NA",4,"Cause less division","Build friendship","NA","NA","NA",2,"That schools should remain single identity","That the Churche's would have less of a say in teaching","It could encourage segragation","NA","NA",3,"Takes away the fact that there is a single identity","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Cause it gives the younger children better education","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"That the children too young at seven","NA","NA","NA","NA",1
"84","It would give each school enough pupils","Children would learn more","People would get on better","NA","NA",3,"their children could do better at a grammar school","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"their children could do better at a grammar school","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Stop all the fighting and arguing, help make a better world","NA","NA","NA","NA",1,"The children would get on better","They would learn more about eachother","NA","NA","NA",2,"Some people think people would still argue over religion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Fear of the past","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Making change. Help people get on together","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"A better age to help eachother learn","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
"85","NA","NA","NA","NA","NA",0,"Kids have different levels of abilities","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Kids have different levels of abilities","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"So they can be taught teir own religion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Far better chance of peace in NI","Better understanding foe kids","NA","NA","NA",2,"Religion sahould not be applied in schools if the children doesn't want have religion in","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Children are too young at 11 and at 14 they are just getting to know how to study","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"12-14 too old to be mixing with younger kids","NA","NA","NA","NA",1
"86","More choice for the students","respect other denominations","More money would hopefully come to the schools","Teachers more a flexability of learning","That students would know about eachother",5,"Better jobs for brighter children","NA","NA","NA","NA",1,"Want them to retain their faith schools","Would not want to know about facing reality","Wish to be ignorant of change in our society","Wouldn't have the interest in the students","NA",4,"Better jobs for brighter children","NA","NA","NA","NA",1,"Giving up their religious beliefs","It is not the way forward","Held down in old traditions","NA","NA",3,"Into the history of 30 years","Not trusting eachother yet","NA","NA","NA",2,"It is the way forward","time for change","Learn to respect other beliefs and cultures","Widen their horizon","Help the whole community",5,"They are starting to realise there is another side to life","NA","NA","NA","NA",1,"Learn to respect","More competition","Make more sense to be used be building more wisely","NA","NA",3,"Time for change","NA","NA","NA","NA",1,"Would want to see people getting on","Everyone should stay separate","NA","NA","NA",2,"Back to old ages","To much sectarian divide","NA","NA","NA",2,"Getting more out of the children","Making most out of education","NA","NA","NA",2,"Saving money","Trying to move ahead with exams","NA","NA","NA",2,"Closing down rural schools","No jobs left for young people","NA","NA","NA",2,"They don't want change at the moment","NA","NA","NA","NA",1
"87","All children work together","Be taught the same subjects","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Brighter pupils need different teaching","My child will be held back","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Only mix with their own religion","Be taught what their Church says","So as not to be brainwashed","NA","NA",3,"NA","NA","NA","NA","NA",NA,"Getting to know both religions","Learning that they are the same","Being friends with eachother outside school","NA","NA",3,"NA","NA","NA","NA","NA",NA,"To show that they are the same academically","To allow them to interact with eachother","So as to get to them better","NA","NA",3,"NA","NA","NA","NA","NA",NA,"So as not to be whitewashed against their own religion","They would have nothing to offer my child","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Too young to decide what to do at 11 years old","So as not to do the 11+ exam","More mature at 14 to decide on their future","Continue with a broad balanced curriculum","NA",4,"NA","NA","NA","NA","NA",NA,"Child should be directed at eleven yrs to new school","If child is academic, better start them at 14 years","waste of a few years when they could be working towards their future","NA","NA",3,"NA","NA","NA","NA","NA",NA
"88","Equality of access","Education is holistic not just based on ability","Reflects community around us","Avoids feeling/perception of failure","NA",4,"Better pupils would not progress","NA","NA","NA","NA",1,"Build fabric of our society","Why change something which is not broken","Lower academic standards","Drags back 'elite'","NA",4,"Better pupils would not progress","NA","NA","NA","NA",1,"Our education is better","Parental choice","They' wouldn't want it","We don't want it","NA",4,"No one in favour in our group","Suppose religious ed could only be taught to children on one religion","NA","NA","NA",2,"Good for EMU","Address issues of sectarianism","All round education","Help NI to progress","NA",4,"Better all round","No reason not to do that","Children would learn to mix better","NA","NA",3,"Good to see them mix","EMU","Makes economic sense","No threat to either community","Help both institutions",5,"It suited needs","Whatever benefited children should be done","NA","NA","NA",2,"Tokenism","Waste of time","No real need for it","Been working without it","NA",4,"No disagreement in our group","NA","NA","NA","NA",1,"Academic selection too young at 11","Suit children more","Suit society more","NA","NA",3,"Better theie seperating at 11","NA","NA","NA","NA",1,"System already works","We like our schools as they are","Cost too much","NA","NA",3,"7 too young for a move","NA","NA","NA","NA",1
"89","Choice offered to pupils","Ability over wide range of subjects can be monitored over a period of time","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Some pupils would thrive, others would struggle according to ability","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Parents would want their own particular religious beliefs to reflect their childrens education","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Children would be mixing with others of different beliefs and none, which would help understanding of different faiths & cultures","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"This again would help with different views & opinions","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"They may believe that children should be exposed to different views at a later age","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"The experience of this may help secondary level education feel less daunting prospect","A child may be more prepared for secondary for secondary education at that age","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"It may be easier for a child to adapt to secondary level education at 11 rather than 14","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA
"90","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Lack of information","Knowledge of all-ability schools","Fear of change","NA","NA",3,"NA","NA","NA","NA","NA",NA,"Own culture","Live in same area","Socially","Faith","Have a better understanding with one another",5,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"respect with eachothers denominational background","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
"91","No selection","Members of their family could all attend same school","NA","NA","NA",2,"Upper class people would not want to mix","NA","NA","NA","NA",1,"Selection for academically minded children","Class (i.e. upper or lower)","NA","NA","NA",2,"Upper class people would not want to mix","NA","NA","NA","NA",1,"Religious beliefs","Bigotry","NA","NA","NA",2,"Bigotry","Not interested in children of different faiths mixing","NA","NA","NA",2,"Improved relations","Preparing for the 'real world'","Not politically minded","NA","NA",3,"Broad minded people would want their children to mix with pupil of different religions","NA","NA","NA","NA",1,"To build better realtions","To see different sides of the coin","NA","NA","NA",2,"To get them ready for the real world","NA","NA","NA","NA",1,"They would like things to stay as they are","They do not want to move forward","NA","NA","NA",2,"Bigotry","Fear","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"The age difference is too much","Bullying","NA","NA","NA",2,"Too big an age gap (7-14) to be together","NA","NA","NA","NA",1
"92","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Bullying","Don't want their kids mixing with other religions","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Very important to mix if we want peace","Good for kids to mix","Children will have to mix when they go to college","NA","NA",3,"NA","NA","NA","NA","NA",0,"It would help children to mix when they get older","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"This is a big gap - bullying could occur","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Age 7-14 would not work as too much of a gap","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0
"93","Efficient use of resources","Dealing with falling numbers","NA","NA","NA",2,"One size will not fit all","NA","NA","NA","NA",1,"One 'fit' does not suit all","Getting rid of a system of education which has served us very well - competition from Grammar schools has ensured intermediate schools have improved considerably","NA","NA","NA",2,"One size will not fit all","NA","NA","NA","NA",1,"Maintain ethos of their own religion","Ensure specific moral/community spirit","NA","NA","NA",2,"They want their children to share their ethos with their own background","NA","NA","NA","NA",1,"Would deal with bigotry","Ensure a more balanced view of the other community","NA","NA","NA",2,"A belief it will resolve all the historic problems we have had between Protestants and Catholics in N.Ireland","NA","NA","NA","NA",1,"Ensure that children mix and learn about others","NA","NA","NA","NA",1,"Getting to know eachother","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"The unknown","NA","NA","NA","NA",1,"So that children don't have to decide which route they will take until they reach 14 years","NA","NA","NA","NA",1,"No change at 11","NA","NA","NA","NA",1,"How would such a structural change be accomodated?","Children are ready to leave primary sector at 11 years","NA","NA","NA",2,"NA","NA","NA","NA","NA",0
"94","Beter off changes of a higher education","More options","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"Less chance of a higher education","Less options","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"For a more intense religious education","Because that is what they did and that is what they want for my kids","Less chance of religious bullying","NA","NA",3,"NA","NA","NA","NA","NA",NA,"To help promote a more peaceful n Ireland","So my children have a more healthy respect for people of different beliefs/cultures","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"Helps to provide a better education","Helps to ease the burden of the teachers","Gets the school extra money","NA","NA",3,"NA","NA","NA","NA","NA",NA,"Take away from a kid education","Puts too much pressure on the teachers","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA
"95","To better facilitate the child","Better motivated child","Happier child","Less snobbery in society","Less division in society",5,"Keeps things the way they are","Elitism","Snobbery","Exclusion","NA",4,"Sticking to old ways","Wishing own children to attend same schools","NA","NA","NA",2,"Keeps things the way they are","Elitism","Snobbery","Exclusion","NA",4,"Retain their own religioous beliefs & identities","Dislike of other religion","NA","NA","NA",2,"Don’t want to lose their own religions","Might be weakened","NA","NA","NA",2,"Give the child a balanced view of their own environment","Less sectarianism in society","Better for the childs social and moral development","Less fear of people who are not like themselves","May be better provision & funding in other schools",5,"Open minded","Want children to mix","Religion can be retained at home","NA","NA",3,"May be the only opportunity for pupils to mix","Better for future of society","Healthier for the child to mix","may learn something from the other religion","NA",4,"NA","NA","NA","NA","NA",0,"They do not like the other religion","Dissolution of their own religion","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Children at 11 may not be mature and ready to move school at this age","May provide more stadility in childs life","NA","NA","NA",2,"Children aren't mature enough to leave at 11","Less traumatic at older age","NA","NA","NA",2,"Wish to keep things as they are","Feel it is better for the child","May hold the child back academically","NA","NA",3,"Keep things as they are","NA","NA","NA","NA",1
"96","Not making a difference with children","Fair system","Easily delivered","NA","NA",3,"Because a separate system caters for different abilities in a better way","NA","NA","NA","NA",1,"Doesn't meet individual needs of child","Uniform, one size fits all","NA","NA","NA",2,"Because a separate system caters for different abilities in a better way","NA","NA","NA","NA",1,"Strong on Faith","In contact with people of similar interests","NA","NA","NA",2,"Strengthen their faith","Would not be influenced by others","NA","NA","NA",2,"Mutual respect and understanding","Removes myths about other faiths","Better chance for future","NA","NA",3,"Grow up and have more understanding of the other community and therefor more respect","NA","NA","NA","NA",1,"More understanding of differences","Better outlook for future","realize others are not aliens","NA","NA",3,"to promote understanding and respect","NA","NA","NA","NA",1,"Lack of understanding","Fear","Don't want own culture to be eroded","NA","NA",3,"The fear of the other side influencing their own","NA","NA","NA","NA",1,"Smoother transition from primary to secondary","Remove fear of change at 11 yrs old","NA","NA","NA",2,"They don't want the change of schools being at 11","NA","NA","NA","NA",1,"Children at different ages have very different needs","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0
"97","Cannot speculate on other peoples opinions","NA","NA","NA","NA",1,"Feel it would be a poorer education","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Feel it would be a poorer education","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Afraid of outside influences","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Create a more tolerant society","Economic reasons","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Social integration","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Don't want to mix society","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Feel no good to mix younger and older pupils","NA","NA","NA","NA",1
"98","NA","NA","NA","NA","NA",0,"They seem to favour more the smarter child","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"They seem to favour more the smarter child","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"That's up to themselves","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"I just think that the communities would get on better together","If they are taught younger to raise it is better","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"I don't know","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"I think that the children are grouped","They are not fit for the secondary school ata ll. Too quick for secondary","The 11+ exam seems to stress them out","NA","NA",3,"NA","NA","NA","NA","NA",0,"They may have smarter children","NA","NA","NA","NA",1
"99","Support","Does away with snobbery, elitism","Allows pupils to be educated together of all religions & sexes","Better education for the less academic","NA",4,"Girl schools do better than mixed schools","NA","NA","NA","NA",1,"Feel it will disadvantage pupils by bringing down levels","Lose identity of schools, ethos","Might feel threatening for less confident","Comprehensive which it is thought like in England would lower eduicational standards","NA",4,"Girl schools do better than mixed schools","NA","NA","NA","NA",1,"Keeps the Catholic/Protestant traditions alive","Itegrated schools don't have same discipline","Lose chance to practice religious events","NA","NA",3,"Traditional","Hard to break tradition in ghettos here","NA","NA","NA",2,"Way to move out of dark ages of the past","Pupils needs to meet with all other religions to prepare for workplace","Bigotry will only die with integrated schooling","NA","NA",3,"It needs to be proven that it will improve things rather than not","Bullying might increase","NA","NA","NA",2,"Allows them the chance to sample both traditions","Keeps religious identity strong in schools","It's a gradual introduction to integrated school","NA","NA",3,"Getting to know eachother","Learning about new traditions","NA","NA","NA",2,"Children work better in their own schools","Might be unworkable","NA","NA","NA",2,"Threatened by something new","Bullying","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
"100","Access to everyone. Inclusive.","No distinction made on academic grounds","School would provide a wide range of choices","NA","NA",3,"Feel that pupils that are academic would be watered down","Class grounds. Middle class background","It's deeply ingrained in Irish society if they go to a grammar school background teachers are better","NA","NA",3,"Academically gifted pupils needs not addressed","Wouldn't want my child mixing with just anyone","Lower standards","A school offerring all ability can't offer excellence in all areas","NA",4,"Feel that pupils that are academic would be watered down","Class grounds. Middle class background","It's deeply ingrained in Irish society if they go to a grammar school background teachers are better","NA","NA",3,"Identity would be lost if they mixed","Afraid child might be brainwashed by those different from them","Friends made in PS & want friendships to continue","Parent's friendships easier to maintain","NA",4,"Want to preserve their identity","Extention of the home & school","Not interested in watering down their identity","Keep children iin the religion they were bron to","NA",4,"Reflects society","More normal approach","Dislike of labels","Mainly opportunity to join a community other than the one they were born into","NA",4,"Multicultural society reflected in schooling","Broaden their horizons","wider opportunity for people","Cultural enrichment through shared involvement with their peers","NA",4,"Very hard to organise if this doesn’t happen","Due to the spin offs of going down the road of partnerships","NA","NA","NA",2,"Partnerships can unite resources","Hands on, teamwork","Both communities find a sense of eachother","NA","NA",3,"A step too far","NA","NA","NA","NA",1,"It's a first step and maybe npt yet ready for that","Facilities in one school may suffer","Teachers may loose jobs","NA","NA",3,"Continuity of education","Pupils continue friendships","NA","NA","NA",2,"Younger children can learn from elders wide age range","One site","Bus time - start time can be same","Parents can send children to ssame school","NA",4,"NA","NA","NA","NA","NA",0,"Folk would like to think primary school children are vulnerable and weak","Open to bullying","NA","NA","NA",2
"101","Fairness of choice for the pupils","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Perhaps thinking their child is special","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Brought up with strong sectarian beliefs","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"See need for change and to forget past troubles","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Exchange ideas from different communities,areas","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"Fear of attack, or making friends with 'other side'","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"That this age is still considered 'child'","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
"102","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
"103","Provide a wide curriculum","Better integration","More trust","NA","NA",3,"Afraid of mixing communities","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Afraid of mixing communities","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Integration way forward","Good for childrens well being","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"Level of learning would be beneficial to children","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Set in their ways","NA","NA","NA","NA",1
"104","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"I feel it's the family decision","My child attends integrated school","NA","NA","NA",2,"NA","NA","NA","NA","NA",NA,"I feel it brings two religions together which will help for the future of their lives","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",NA
"105","It is good to mix schools","Open childrens minds to new things","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"People are afraid of change and moving on with things","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"People are afraid of moving on and wants things to stay the same. No trust","NA","NA","NA","NA",1,"Scared at mixing, losing beliefs","NA","NA","NA","NA",1,"They wont change, look to the future","NA","NA","NA","NA",1,"To try and get on with people better","NA","NA","NA","NA",1,"Want to stay the same","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
"106","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"To learn","To learn about life","NA","NA","NA",2,"Sectarianism","Narrow mindedness","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Bveneficial to child later in life","Education in other beliefs","NA","NA","NA",2,"They learn about life as we as adults see it","NA","NA","NA","NA",1,"It benefits the child for the real world","Saves education money","NA","NA","NA",2,"Do not come into the answer","NA","NA","NA","NA",1,"Keeps their traditions","Bigotry","NA","NA","NA",2,"Education of life","Between them and their parents","What more would society need or want","NA","NA",3,"NA","NA","NA","NA","NA",0,"Not applicable","NA","NA","NA","NA",1,"Allow children to be children","NA","NA","NA","NA",1
"107","NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"That they have a right to be taught their own religion","NA","NA","NA","NA",1,"Wide area of understanding different cultures","Getting along with everyone","NA","NA","NA",2,"They would benefit from being mixed","NA","NA","NA","NA",1,"It's good for them to experience other religions","Be tolerant to other's beliefs","Not be judgemental","NA","NA",3,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
"108","To give every child a chance","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Leaving things as they are so no disruptiopn","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Well this means they have the choice of bringing up their child in their religion","NA","NA","NA","NA",1,"Used to it","NA","NA","NA","NA",1,"To teach our children to mix","NA","NA","NA","NA",1,"Try to change system and get on better with people of a different religion","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Teach them to mix","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Old habits","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0,"NA","NA","NA","NA","NA",0
"109","Treat all children equally reguardless of ability","Fair system","No divide/separation","NA","NA",3,"NA","NA","NA","NA","NA",0,"Individual strengths not catered for","No one system fits everyone","Lack of choice as it's impossible to cater for everyone in one system","Can become boring","NA",4,"NA","NA","NA","NA","NA",0,"Their religion is best so give it to everyone","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"No one religion fits everyone","Relationships formed to benefit future work/university life","Respect & tolerance for others","Basically we are all the same, human beliefs","the difference is so small why make a big deal out of it by segregating our children because of religion",5,"I think it’s all round better","It creates tolerance","NA","NA","NA",2,"Give children a better understanding of others, that we're all the same regardless of religion","The subjects would give us a shared interest","Gain knowledge and let go of ignorance around religion","NA","NA",3,"No idea","NA","NA","NA","NA",1,"That children from other religions aren't as good","I hate change","I have a rigid belief pattern all my life and I will not change my views for anyone. My views are right","NA","NA",3,"No idea","NA","NA","NA","NA",1,"Let children develop with peers they know","14 more mature age to make decisions","NA","NA","NA",2,"I think it would give a better society in general","NA","NA","NA","NA",1,"The education system is fine the way it is","It's already tried and tested","NA","NA","NA",2,"No idea","NA","NA","NA","NA",1
"110","There is no aura of elitism","Every child is treated fairly and equally","NA","NA","NA",2,"NA","NA","NA","NA","NA",0,"Some of the stronger pupils and pupils with less ability may not be receiving or attaining an education best suited to their ability","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"Don't loose their identity","Feel the need to be seen as coming from a particular denomination","NA","NA","NA",2,"To retain their identity","NA","NA","NA","NA",1,"It creates an environment for children to express their culture on to their counterpart, thus creating a mutual respect for one anothers differences","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"So as not to create a 'them' and 'us' dilema","To foster good relations","Respect one another","NA","NA",3,"NA","NA","NA","NA","NA",0,"Some people may feel it comprises their child's identity and where they came from","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"An easier transition for the child to adjust","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0,"To me it doesn't seem very structured, can be confusing for a child. Does it now mean primary schools only go up the P.3 and then a child is thrust into a school which can seem quite daunting. 7 year olds mixing with 14 year olds, a big leap.","NA","NA","NA","NA",1,"NA","NA","NA","NA","NA",0
